Accession_ID,Species_Name,Family,In_Species_Folder,In_Genus_Folder,In_Family_Folder
GCA_000280675.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_002796755.1,Corniculantispora psalliotae,Cordycipitaceae,No,No,Yes
GCA_003267905.1,Beauveria pseudobassiana,Cordycipitaceae,No,Yes,No
GCA_022985055.1,Beauveria pseudobassiana,Cordycipitaceae,No,Yes,No
GCA_027595875.1,Zarea fungicola,Cordycipitaceae,No,No,Yes
GCA_028828415.1,Cordyceps cateniannulata,Cordycipitaceae,No,No,Yes
GCA_030406835.1,Beauveria australis,Cordycipitaceae,No,Yes,No
GCA_030411435.1,Cordyceps cateniannulata,Cordycipitaceae,No,No,Yes
GCA_030411515.1,Akanthomyces dipterigenus,Cordycipitaceae,No,No,Yes
GCA_030411535.1,Beauveria australis,Cordycipitaceae,No,Yes,No
GCA_030411675.1,Lecanicillium aphanocladii,Cordycipitaceae,No,No,Yes
GCA_030772205.1,Beauveria varroae,Cordycipitaceae,No,Yes,No
GCA_030772615.1,Beauveria bassiana,Cordycipitaceae,Yes,Yes,Yes
GCA_030772635.1,Beauveria bassiana,Cordycipitaceae,Yes,Yes,Yes
GCA_030777785.1,Beauveria caledonica,Cordycipitaceae,No,Yes,No
GCA_030779765.1,Beauveria brongniartii,Cordycipitaceae,No,Yes,No
GCA_030780425.1,Beauveria varroae,Cordycipitaceae,No,Yes,No
GCA_030781985.1,Beauveria asiatica,Cordycipitaceae,No,Yes,No
GCA_030782005.1,Beauveria brongniartii,Cordycipitaceae,No,Yes,No
GCA_030782205.1,Beauveria asiatica,Cordycipitaceae,No,Yes,No
GCA_030784555.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030784885.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030784925.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030785025.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030785215.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030786195.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030786345.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030786905.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030786925.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_030786945.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_032354195.1,Beauveria bassiana,Cordycipitaceae,Yes,No,No
GCA_051527305.1,Zarea fungicola,Cordycipitaceae,No,No,Yes
GCA_051528435.1,Beauveria caledonica,Cordycipitaceae,No,Yes,No
GCA_051528715.1,Lecanicillium aphanocladii,Cordycipitaceae,No,No,Yes
GCA_051529075.1,Akanthomyces dipterigenus,Cordycipitaceae,No,No,Yes
GCA_051529175.1,Simplicillium lanosoniveum,Cordycipitaceae,No,No,Yes
GCA_051529195.1,Simplicillium lanosoniveum,Cordycipitaceae,No,No,Yes
GCA_051529455.1,Corniculantispora psalliotae,Cordycipitaceae,No,No,Yes
FA-16929,Boletus edulis,Boletaceae,Yes,No,No
FA-18247,Boletus edulis,Boletaceae,Yes,No,No
FA-18312,Boletus edulis,Boletaceae,Yes,No,No
GCA_018397855.1,Boletus reticuloceps,Boletaceae,No,Yes,No
GCA_038088795.1,Boletus rex-veris,Boletaceae,No,Yes,No
GCA_038089235.1,Boletellus ananas,Boletaceae,No,No,Yes
GCA_038089415.1,Caloboletus firmus,Boletaceae,No,No,Yes
GCA_038089615.1,Aureoboletus auriporus,Boletaceae,No,No,Yes
GCA_038089635.1,Leccinum variicolor,Boletaceae,No,No,Yes
GCA_038089895.1,Boletellus ananas,Boletaceae,No,No,Yes
GCA_038090135.1,Pulveroboletus ravenelii,Boletaceae,No,No,Yes
GCA_038090235.1,Pulveroboletus ravenelii,Boletaceae,No,No,Yes
GCA_038090375.1,Boletus rubroflammeus,Boletaceae,No,Yes,No
GCA_038090555.1,Boletus subcaerulescens,Boletaceae,No,Yes,No
GCA_038091015.1,Boletus vermiculosoides,Boletaceae,No,Yes,No
GCA_038091195.1,Phylloporus rhodoxanthus,Boletaceae,No,No,Yes
GCA_038091415.1,Leccinum variicolor,Boletaceae,No,No,Yes
GCA_038092335.1,Boletus vinaceobasis,Boletaceae,No,Yes,No
GCA_038092375.1,Boletus vermiculosoides,Boletaceae,No,Yes,No
GCA_038092395.1,Boletus variipes,Boletaceae,No,Yes,No
GCA_038092555.1,Boletus subgraveolens,Boletaceae,No,Yes,No
GCA_038092575.1,Boletus subluridellus,Boletaceae,No,Yes,No
GCA_038092595.1,Boletus subdepauperatus,Boletaceae,No,Yes,No
