Accession_ID,Dataset,DatasetLevel,BioSample
GCA_001713645.1,Coccidioides,General,
GCA_000149815.1,Coccidioides,General,
GCA_020976775.1,Coccidioides,General,
GCA_018416015.2,Coccidioides,General,
GCA_000150055.1,Coccidioides,General,
GCA_000150735.2,Coccidioides,General,
GCA_000150645.1,Coccidioides,General,
GCA_000150085.1,Coccidioides,General,
GCA_000151335.1,Coccidioides,General,
GCA_000150245.1,Coccidioides,General,
GCA_000150185.1,Coccidioides,General,
GCA_000150555.1,Coccidioides,General,
GCA_000170175.2,Coccidioides,General,
GCA_004115165.2,Coccidioides,General,
GCA_000149895.1,Coccidioides,General,
GCA_000150585.1,Coccidioides,General,
GCA_000149335.2,Coccidioides,General,
GCA_000150215.1,Coccidioides,General,
GCA_001713695.1,Coccidioides,General,
GCA_000150705.2,Coccidioides,General,
GCA_020976795.1,Coccidioides,General,
GCA_000150615.1,Coccidioides,General,
GCA_000150475.2,Coccidioides,General,
GCA_000520075.1,Aphanomyces,General,
GCA_009835205.1,Aphanomyces,General,
GCA_003546565.1,Aphanomyces,General,
GCA_021527685.1,Aphanomyces,General,
GCA_003546585.1,Aphanomyces,General,
GCA_003546825.1,Aphanomyces,General,
GCA_021527745.1,Aphanomyces,General,
GCA_021527805.1,Aphanomyces,General,
GCA_000520115.1,Aphanomyces,General,
GCA_009835185.1,Aphanomyces,General,
GCA_002081595.1,Aphanomyces,General,
GCA_002081575.1,Aphanomyces,General,
GCA_021527665.1,Aphanomyces,General,
GCA_003666305.1,Aphanomyces,General,
GCA_000281045.1,Aphanomyces,General,
GCA_019828595.1,Aphanomyces,General,
GCA_003546765.1,Aphanomyces,General,
GCA_021527785.1,Aphanomyces,General,
GCA_000151545.2,Aphanomyces,General,
GCA_003546605.1,Aphanomyces,General,
GCA_003546805.1,Aphanomyces,General,
GCA_002197585.2,Aphanomyces,General,
GCA_900312765.1,Aphanomyces,General,
GCA_009835175.1,Aphanomyces,General,
GCA_900243735.1,Aphanomyces,General,
GCA_900708865.1,Aphanomyces,General,
GCA_003546545.1,Aphanomyces,General,
GCA_003546785.1,Aphanomyces,General,
GCA_003546525.1,Aphanomyces,General,
GCA_003546625.1,Aphanomyces,General,
GCA_001707655.1,Puccinia,General,
GCA_002008965.1,Puccinia,General,
GCA_046128785.1,Puccinia,General,
GCA_019395275.1,Puccinia,General,
GCA_002920205.1,Puccinia,General,
GCA_050655635.1,Puccinia,General,
GCA_001707215.1,Puccinia,General,
GCA_001707045.1,Puccinia,General,
GCA_021901695.1,Puccinia,General,
GCA_021901655.1,Puccinia,General,
GCA_000151525.2,Puccinia,General,
GCA_000342525.1,Puccinia,General,
GCA_001707385.1,Puccinia,General,
GCA_039519225.1,Puccinia,General,
GCA_001707355.1,Puccinia,General,
GCA_007896445.1,Puccinia,General,
GCA_001706825.1,Puccinia,General,
GCA_001263375.1,Puccinia,General,
GCA_025169555.1,Puccinia,General,
GCA_026914185.1,Puccinia,General,
GCA_001191645.1,Puccinia,General,
GCA_001707095.1,Puccinia,General,
GCA_001936605.2,Puccinia,General,
GCA_000785685.1,Puccinia,General,
GCA_000342545.1,Puccinia,General,
GCA_002008925.1,Puccinia,General,
GCA_001624995.1,Puccinia,General,
GCA_026914245.1,Puccinia,General,
GCA_001707295.1,Puccinia,General,
GCA_050613845.1,Puccinia,General,
GCA_004348175.1,Puccinia,General,
GCA_025869495.1,Puccinia,General,
GCA_001707345.1,Puccinia,General,
GCA_000223505.1,Puccinia,General,
GCA_002920065.1,Puccinia,General,
GCA_029618635.1,Puccinia,General,
GCA_001707035.1,Puccinia,General,
GCA_001706815.1,Puccinia,General,
GCA_011750625.1,Puccinia,General,
GCA_001707415.1,Puccinia,General,
GCA_001706785.1,Puccinia,General,
GCA_013090125.1,Puccinia,General,
GCA_002008935.1,Puccinia,General,
GCA_025169535.1,Puccinia,General,
GCA_001707075.1,Puccinia,General,
GCA_025869475.1,Puccinia,General,
GCA_039519205.1,Puccinia,General,
GCA_000149925.1,Puccinia,General,
GCA_029618625.1,Puccinia,General,
GCA_001706745.1,Puccinia,General,
GCA_011750755.1,Puccinia,General,
GCA_050613835.1,Puccinia,General,
GCA_015502455.1,Mortierellaceae,General,
GCA_025330735.1,Mortierellaceae,General,
GCA_014973025.1,Mortierellaceae,General,
GCA_015502475.1,Mortierellaceae,General,
