id,VCF_SAMPLE_NAME,ORDER_IN_VCF,latitude,longitude,CONTINENT,COUNTRY,LINEAGE,YEAR,HOST_FAMILY,TYPE,Chytridiomycosis,tree_leaf_name,match_score,match_type
02_OZ,02.OZ,1,,,Australasia,Australia,GPL,2005,Hylidae,Captive,,02.OZ,100.0,exact
03_OZ,03.OZ,2,-41.176,144.715,Australasia,Tasmania,GPL,2009,Myobatrachidae,Wild,Y,03.OZ,100.0,exact
06_OZ,06.OZ,3,-19.000048,146.201307,Australasia,Australia,GPL,2010,Hylidae,Wild,Y,06.OZ,100.0,exact
07_OZ,07.OZ,4,-19.000048,146.201307,Australasia,Australia,GPL,2010,Hylidae,Wild,Y,07.OZ,100.0,exact
0710-1,0710-1,5,42.88778333,-0.70885,Europe,France,GPL,2007,Alytidae,Wild,Y,0710.1,100.0,exact
0711_1,711.1,6,42.88778333,-0.70885,Europe,France,GPL,2007,Alytidae,Wild,Y,0711.1,100.0,exact
08MG02,08MG02,8,-28.76268,28.91794,Africa,South Africa,GPL,2008,Pyxicephalidae,Wild,Y,08MG02,100.0,exact
08MG05,08MG05,9,-34.093316,18.42167,Africa,South Africa,GPL,2008,Pyxicephalidae,Wild,N,08MG05,100.0,exact
09_OZ,09.OZ,10,-42.8958,147.2366,Australasia,Tasmania,GPL,2012,Hylidae,Wild,Y,09.OZ,100.0,exact
11_OZ,11.OZ,11,-17.887163,145.803852,Australasia,Australia,GPL,1998,Hylidae,Wild,Y,11.OZ,100.0,exact
12_OZ,12.OZ,12,-23.375,150.5117,Australasia,Australia,GPL,1999,Hylidae,Wild,Y,12.OZ,100.0,exact
13_OZ,13.OZ,13,-19.00711,146.20745,Australasia,Australia,GPL,2012,Hylidae,Wild,Y,13.OZ,100.0,exact
14_OZ,14.OZ,14,-15.8833,145.2333,Australasia,Australia,GPL,2005,Hylidae,Wild,Y,14.OZ,100.0,exact
15_OZ,15.OZ,15,-33.975066,149.160882,Australasia,Australia,GPL,2009,Hylidae,Wild,Y,15.OZ,100.0,exact
16_OZ,16.OZ,16,-41.606029,145.17334,Australasia,Australia,GPL,2012,Hylidae,Wild,N,16.OZ,100.0,exact
18_OZ,18.OZ,17,-41.606029,145.17334,Australasia,Australia,GPL,2012,Hylidae,Wild,N,18.OZ,100.0,exact
20_OZ,20.OZ,18,-41.595307,145.097013,Australasia,Australia,GPL,2012,Myobatrachidae,Wild,N,20.OZ,100.0,exact
22_OZ,22.OZ,19,-41.595307,145.097013,Australasia,Australia,GPL,2012,Myobatrachidae,Wild,N,22.OZ,100.0,exact
23_OZ,23.OZ,20,-17.307546,145.92344,Australasia,Australia,GPL,2012,Hylidae,Wild,Y,23.OZ,100.0,exact
24_OZ,24.OZ,21,-17.307546,145.92344,Australasia,Australia,GPL,2012,Hylidae,Wild,Y,24.OZ,100.0,exact
25_OZ,25.OZ,22,-17.307546,145.92344,Australasia,Australia,GPL,2012,Hylidae,Wild,Y,25.OZ,100.0,exact
28_OZ,28.OZ,23,-17.887163,145.803852,Australasia,Australia,GPL,2012,Hylidae,Wild,Y,28.OZ,100.0,exact
30_OZ,30.OZ,24,-17.887163,145.803852,Australasia,Australia,GPL,2012,Hylidae,Wild,Y,30.OZ,100.0,exact
33_OZ,33.OZ,25,-39.993839,148.055609,Australasia,Australia,GPL,2012,Hylidae,Wild,N,33.OZ,100.0,exact
34_OZ,34.OZ,26,-39.993839,148.055609,Australasia,Tasmania,GPL,2012,Myobatrachidae,Wild,N,34.OZ,100.0,exact
35_OZ,35.OZ,27,-18.979893,146.252557,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,35.OZ,100.0,exact
36_OZ,36.OZ,28,,,Australasia,Australia,GPL,2013,Myobatrachidae,Experiment,,36.OZ,100.0,exact
37_OZ,37.OZ,29,,,Australasia,Australia,GPL,2013,Myobatrachidae,Experiment,,37.OZ,100.0,exact
38_OZ,38.OZ,30,-18.199257,145.844575,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,38.OZ,100.0,exact
39_OZ,39.OZ,31,-18.199257,145.844575,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,39.OZ,100.0,exact
40_OZ,40.OZ,32,-18.199257,145.844575,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,40.OZ,100.0,exact
41_OZ,41.OZ,33,-32.993331,151.44575,Australasia,Australia,GPL,2013,Myobatrachidae,Wild,Y,41.OZ,100.0,exact
42_OZ,42.OZ,34,-32.993331,151.44575,Australasia,Australia,GPL,2013,Myobatrachidae,Wild,Y,42.OZ,100.0,exact
43_OZ,43.OZ,35,-32.993331,151.44575,Australasia,Australia,GPL,2013,Myobatrachidae,Wild,Y,43.OZ,100.0,exact
44_OZ,44.OZ,36,-36.4,148.6167,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,44.OZ,100.0,exact
45_OZ,45.OZ,37,-36.4,148.6167,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,45.OZ,100.0,exact
46_OZ,46.OZ,38,-36.4,148.6167,Australasia,Australia,GPL,2013,Hylidae,Wild,Y,46.OZ,100.0,exact
47_OZ,47.OZ,39,,,Australasia,Australia,GPL,2000,Hylidae,Captive,,47.OZ,100.0,exact
49_OZ,49.OZ,40,,,Australasia,Australasia,GPL,2014,Hylidae,Experiment,,49.OZ,100.0,exact
Acherito_c_15,Acherito.c_15,48,42.879167,-0.700833,Europe,France,GPL,2015,Alytidae,Wild,Y,Acherito.c.15,100.0,exact
ADMALA,ADMALA,41,36.87284,-4.06186,Europe,Spain,GPL,2012,Alytidae,Wild,Y,ADMALA,100.0,exact
BdBE5,Alyt21,49,50.742643,5.814315,Europe,Belgium,GPL,2016,Alytidae,Wild,Y,BdBE5,100.0,exact
ANS_13No10,ANS_13No10,42,42.88778333,-0.70885,Europe,France,GPL,2013,Alytidae,Wild,Y,ANS.13No10,100.0,exact
AoCH15,AoCH15_B,50,47.30691163,8.498080357,Europe,Switzerland,GPL,2015,Alytidae,Wild,N,,0.0,unmatched
AP15,AP15,43,40.057286,9.203291,Europe,Italy,GPL,2010,Alytidae,Wild,Y,,0.0,unmatched
Arlet_a_15,Arlet.a_15,51,42.840056,-0.615033,Europe,France,GPL,2015,Alytidae,Wild,N,Arlet.a.15,100.0,exact
AUL,AUL,44,42.885022,-0.480207,Europe,France,GPL,2010,Alytidae,Wild,Y,,0.0,unmatched
AVS2,AVS2,45,-44.1082229,-73.1190496,South America,Chile,GPL,2015,Batrachylidae,Wild,N,AVS2,100.0,exact
AVS4,AVS4,46,-34.9686871,-71.8375124,South America,Chile,GPL,2016,Pipidae,Wild,N,AVS4,100.0,exact
AVS7,AVS7,47,-39.834071,-73.222834,South America,Chile,GPL,2016,Calyptocephalellidae,Wild,Y,AVS7,100.0,exact
BAV_BRUCH_1,BAV_BRUCH_1,52,50.5393995,10.1541838,Europe,Germany,GPL,2013,Alytidae,Wild,Y,BAV.BRUCH.1,100.0,exact
BAV_OBER_1,BAV_OBER_1,53,50.4047222,10.2603113,Europe,Germany,GPL,2013,Alytidae,Wild,Y,BAV.OBER.1,100.0,exact
BAV_OBER_2,BAV_OBER_2,54,50.4047222,10.2603113,Europe,Germany,GPL,2013,Alytidae,Wild,Y,BAV.OBER.2,100.0,exact
BAV_OBER_3,BAV_OBER_3,55,50.4047222,10.2603113,Europe,Germany,GPL,2013,Alytidae,Wild,Y,BAV.OBER.3,100.0,exact
BdBE1,BdBE1,60,50.778095,4.619583,Europe,Belgium,GPL,2015,Alytidae,Wild,N,,0.0,unmatched
BdBE2,BdBE2,61,51.151561,5.180321,Europe,Belgium,GPL,2015,Ranidae,Wild,N,BdBE2,100.0,exact
BdBE3,BdBE3,62,50.690926,4.192698,Europe,Belgium,GPL,2015,Salamandridae,Wild,N,BdBE3,100.0,exact
BdBE4,BdBE4,63,51.357185,5.087353,Europe,Belgium,GPL,2016,Ranidae,Wild,N,BdBE4,100.0,exact
BdBE6,BdBE6,64,50.759485,5.768259,Europe,Belgium,GPL,2016,Salamandridae,Wild,N,BdBE6,100.0,exact
BEW2,BEW2,56,47.04966892,7.790279019,Europe,Switzerland,GPL,2010,Alytidae,Wild,N,,0.0,unmatched
BLI1,BLI1,57,47.45966669,7.783305696,Europe,Switzerland,GPL,2010,Alytidae,Wild,N,,0.0,unmatched
BdNL1,BOM2,58,50.819546,5.782573,Europe,Netherlands,GPL,2015,Alytidae,Wild,N,BdNL1,100.0,exact
BR1,BR1,59,47.00235746,7.758477968,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
C2A,C2A,65,40.85,-3.9559,Europe,Spain,GPL,2002,Alytidae,Wild,Y,,0.0,unmatched
CH4,CH4,69,47.01269149,7.792667062,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
CHAL3,CHAL3,70,47.47758693,7.766441066,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
CJB4,CJB4,71,37.821289,-120.012849,North America,USA,GPL,2009,Ranidae,Wild,Y,,0.0,unmatched
CJB5-2,CJB5-2,72,37.084575,-118.533387,North America,USA,GPL,2009,Ranidae,Wild,Y,,0.0,unmatched
CJB7,CJB7,73,36.815925,-118.418644,North America,USA,GPL,2009,Ranidae,Wild,Y,,0.0,unmatched
CLFT021,CLFT021,75,-23.249292,-46.949915,South America,Brazil,GPL,2011,,Wild,N,,0.0,unmatched
CLFT023,CLFT023,76,-22.866361,-46.033068,South America,Brazil,GPL,2011,Hylidae,Wild,N,,0.0,unmatched
CLFT026,CLFT026,79,-24.590532,-48.626003,South America,Brazil,GPL,2011,Hylidae,Wild,N,,0.0,unmatched
CM21,CM21,86,44.939586,-0.517843,Europe,France,GPL,2015,Ranidae,Wild,N,CM21,100.0,exact
CM22,CM22,87,44.939586,-0.517843,Europe,France,GPL,2015,Ranidae,Wild,N,CM22,100.0,exact
CMT3,CMT3,88,44.939586,-0.517843,Europe,France,GPL,2015,Ranidae,Wild,N,CMT3,100.0,exact
CMT5,CMT5,89,44.939586,-0.517843,Europe,France,GPL,2015,Ranidae,Wild,N,CMT5,100.0,exact
CORN1,CORN1,90,50.3,-4.6,Europe,UK,GPL,2012,Salamandridae,Wild,N,CORN1,100.0,exact
CORN1B,CORN1B,91,50.342,-4.66,Europe,UK,GPL,2012,Salamandridae,Wild,N,CORN1B,100.0,exact
ETH2,ETH2,94,6.6865071,39.66411808,Africa,Ethiopia,GPL,2011,Hyperoliidae,Wild,N,,0.0,unmatched
ETH4,ETH4,95,6.7571667,39.7211917,Africa,Ethiopia,GPL,2011,Arthroleptidae,Wild,N,,0.0,unmatched
EV001,EV001,96,4.436667,-73.919444,South America,Colombia,GPL,2010,Aromobatidae,Wild,N,,0.0,unmatched
FG184,FG184,97,4.08829,-52.67952,South America,French Guiana,GPL,2015,Aromobatidae,Wild,Y,FG184,100.0,exact
FG32,FG32,98,4.08829,-52.67952,South America,French Guiana,GPL,2015,Dendrobatidae,Wild,Y,FG32,100.0,exact
HER3,HER3,99,47.022977,8.235105,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
Hung_2014,Hung_2014,103,47.232612,17.642608,Europe,Hungary,GPL,2014,Bombinatoridae,Wild,,Hung.2014,100.0,exact
Hung_2039,Hung_2039,104,47.232612,17.642608,Europe,Hungary,GPL,2014,Bombinatoridae,Wild,N,Hung.2039,100.0,exact
Hung_2044,Hung_2044,105,47.232612,17.642608,Europe,Hungary,GPL,2014,Bombinatoridae,Wild,N,Hung.2044,100.0,exact
HYATT,HYATT,102,,,Australasia,Australia,GPL,1998,Hylidae,Wild,N,HYATT,100.0,exact
IA_11,IA_11,107,42.879167,-0.700833,Europe,Spain,GPL,2011,Alytidae,Wild,Y,IA.11,100.0,exact
IA_13No17,IA_13No17,108,42.879167,-0.700833,Europe,Spain,GPL,2013,Alytidae,Wild,Y,IA.13No17,100.0,exact
IA043_cryo,IA043_cryo,106,42.879167,-0.700833,Europe,Spain,GPL,2004,Alytidae,Wild,Y,IA043.cryo,100.0,exact
JEL238,JEL238,109,33.73083,-111.51417,North America,USA,GPL,1999,Ranidae,Wild,Y,,0.0,unmatched
JEL240,JEL240,110,44.90082,-68.665646,North America,USA,GPL,1999,Pipidae,Trade,N,JEL240,100.0,exact
JEL261,JEL261,111,46.79,-71.25,North America,Canada,GPL,1999,Ranidae,Wild,N,JEL261,100.0,exact
JEL267,JEL267,112,45.56501,-73.19131,North America,Canada,GPL,1999,Ranidae,Wild,N,,0.0,unmatched
JEL270,JEL270,113,38.068751,-122.806456,North America,USA,GPL,1999,Ranidae,Wild,N,JEL270,100.0,exact
JEL271,JEL271,114,38.068751,-122.806456,North America,USA,GPL,1999,Ranidae,Wild,N,,0.0,unmatched
JEL274,JEL274,115,40.779,-111.924,North America,USA,GPL,1999,Bufonidae,Wild,Y,JEL274,100.0,exact
JEL275,JEL275,116,39.689195,-105.640169,North America,USA,GPL,1999,Bufonidae,Wild,Y,,0.0,unmatched
JEL289,JEL289,117,44.946435,-68.64026,North America,USA,GPL,2000,Ranidae,Wild,N,,0.0,unmatched
JEL310,JEL310,118,8.708647,-82.170291,North America,Panama,GPL,2005,Hylidae,Wild,Y,,0.0,unmatched
JEL359,JEL359,119,44.46867,-71.185077,North America,USA,GPL,2002,Ranidae,Wild,N,,0.0,unmatched
JEL408,JEL408,120,8.620236,-80.583777,North America,Panama,GPL,2004,Dendrobatidae,Wild,Y,,0.0,unmatched
JEL423,JEL423_2014,121,8.5833,-82.5333,North America,Panama,GPL,2004,Hylomantis,Wild,Y,JEL423,100.0,exact
JEL427,JEL427,122,18.299386,-65.77925,North America,Puerto Rico,GPL,2004,Eleutherodactylidae,Wild,N,,0.0,unmatched
JEL429,JEL429,123,8.6076,-71.152681,South America,Venezuela,GPL,2005,Ranidae,Wild,N,,0.0,unmatched
JEL433,JEL433,124,-29.983039,19.374335,Africa,South Africa,GPL,2005,Pipidae,Wild,N,,0.0,unmatched
JEL627,JEL627,125,44.404459,-70.789881,North America,USA,GPL,2009,Ranidae,Wild,N,,0.0,unmatched
L2203,L2203,137,16.743,-62.1873,North America,France OST,GPL,2009,Leptodactylidae,Wild,Y,L2203,100.0,exact
LBAbercrom,LBAbercrom,138,-33.378091,149.545924,Australasia,Australia,GPL,2009,Hylidae,Wild,Y,,0.0,unmatched
LHURS_11No1,LHURS_11No1,139,42.92205,-0.702633333,Europe,France,GPL,2011,Alytidae,Wild,Y,LHURS.11No1,100.0,exact
LHURS_11No7,LHURS_11No7,140,42.92205,-0.702633333,Europe,France,GPL,2011,Alytidae,Wild,Y,LHURS.11No7,100.0,exact
MAD,MAD,142,42.867513,0.144952,Europe,France,GPL,2010,Alytidae,Wild,Y,,0.0,unmatched
UKMAL05,MAL05,143,52.08269004,-2.344787335,Europe,UK,GPL,2011,Salamandridae,Wild,N,,0.0,unmatched
MC94,MC94,145,-22.901675,30.696089,Africa,South Africa,GPL,2008,Pipidae,Wild,N,MC94,100.0,exact
MCT8,MCT8,146,-34.093316,18.42167,Africa,South Africa,GPL,2008,Pyxicephalidae,Wild,N,MCT8,100.0,exact
