,Target Accession,Same Species,Same Genus,Same Family,Same Order,Same Class,Same Phylum,Same Kingdom,Other Kingdom
Saccharomyces cerevisiae 1,GCA_000756235.1,GCA_000766165.2,GCA_030035085.1,GCA_030462825.1,,GCA_030570655.1,GCA_024761455.1,GCA_001683735.1,GCA_000500225.2
Saccharomyces cerevisiae 2,GCA_000766165.2,GCA_000766175.2,GCA_918271895.1,GCA_004332465.1,,GCA_040256855.1,GCA_038497415.1,GCA_038091355.1,GCA_046861845.1
Saccharomyces cerevisiae 3,GCA_000766175.2,GCA_000766185.2,GCA_004353095.1,GCA_007993695.1,,GCA_030574735.1,GCA_024678865.1,GCA_038502985.1,GCA_003666305.1
Saccharomyces cerevisiae 4,GCA_000766185.2,GCA_000766195.2,GCA_000256925.1,GCA_028408415.1,,GCA_003706915.2,GCA_022830625.1,GCA_040804375.1,GCA_026225685.1
Saccharomyces cerevisiae 5,GCA_000766195.2,GCA_000766245.2,GCA_013179775.1,GCA_030579255.1,,GCA_003706445.3,GCA_043176075.1,GCA_024184655.1,GCA_029168885.1
Saccharomyces cerevisiae 6,GCA_000766245.2,GCA_000766265.2,GCA_021403455.1,GCA_931298635.1,,GCA_029581785.1,GCA_020501575.1,GCA_900177175.1,GCA_000333115.2
Saccharomyces cerevisiae 7,GCA_000766265.2,GCA_000766275.2,GCA_013180785.1,GCA_017347545.2,,GCA_030490795.1,GCA_029607825.1,GCA_018154785.1,GCA_030279095.1
Saccharomyces cerevisiae 8,GCA_000766275.2,GCA_000766305.2,GCA_013179845.1,,,GCA_023497445.1,GCA_000968615.1,,GCA_001314375.1
Saccharomyces cerevisiae 9,GCA_000766305.2,GCA_000766315.2,GCA_001483335.1,GCA_949129765.1,,GCA_031126355.1,GCA_023625055.1,GCA_902749325.1,GCA_038051095.1
Fusarium oxysporum 0,GCA_000733055.2,GCA_001703125.1,GCA_900079805.1,GCA_030370985.1,GCA_030777825.1,GCA_028565785.1,GCA_022059125.1,GCA_002220045.1,GCA_038050625.1
